BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-424.788,90.8111,-36.8837,24.2534,-3.24445,-15.8923,13.0794,-15.2512,-1.69648,3.30397,-10.0076,1.11468,-8.66407,-4.67365,0.497174,-5.96736,1.89642,-0.393856,1.52618,4.99748,-2.97145
-429.673,92.8376,-42.5258,23.2209,-1.61536,-16.4929,13.9932,-14.725,-1.87063,3.48609,-8.24405,4.26447,-6.7699,-5.5983,2.37163,-4.86599,3.35552,0.0784632,-0.342675,2.05906,-3.44751
-400.383,67.9399,-25.8926,28.6989,-11.2206,12.076,-6.23675,4.35715,-4.09965,0.182563,-0.631099,-5.16889,4.98239,-6.02311,7.0291,-4.41798,3.27383,-2.62788,0.28255,3.23041,-1.18219
-358.664,43.5231,-19.1999,20.6247,-18.2455,13.2396,-17.2211,9.10694,-12.0906,1.74012,-11.1124,0.926705,-4.91352,-3.56097,-3.97461,-0.875512,-4.16781,-4.19709,-0.0689455,-1.5089,1.25796
-338.961,50.012,-14.5637,24.5152,-12.8448,16.3843,-9.44444,11.8986,-11.1537,8.77843,-5.61608,2.13577,-4.98455,0.664998,-0.0656555,-0.122174,-2.32227,-1.44383,0.971422,-5.0845,3.38615
-379.103,76.6063,-36.8858,27.6206,-13.764,5.77585,-1.27073,-2.84318,0.982345,-5.63043,2.39139,-6.61156,0.25659,-3.79284,1.36776,0.768973,-2.31658,1.70722,-3.61161,1.28642,1.89499
-409.371,90.2895,-46.4524,20.3708,-4.93298,-15.9052,10.8736,-15.5015,-0.597348,-0.94719,-12.0778,-0.429306,-9.63558,-0.636468,0.268579,-7.02437,2.92478,-4.5791,-3.34708,2.15104,-1.30744
-413.018,94.5698,-41.3776,20.3604,-0.613683,-14.1024,12.3953,-12.8485,0.618783,2.57715,-11.5355,3.30135,-7.29522,-2.32899,4.06434,-6.01313,1.86513,-1.64193,-3.83032,3.94851,0.160131
-413.651,90.7167,-44.7154,19.683,-5.81881,-13.6775,11.1507,-15.699,0.565388,-1.4839,-10.9062,5.51098,-9.02971,-0.981379,2.1503,-5.52331,4.02739,-3.28266,-1.34847,3.88126,-2.56967
-414.661,92.9834,-40.5776,19.1494,-5.30122,-11.0664,12.1787,-14.7426,1.49674,0.824246,-9.80265,3.08441,-8.72815,0.831908,1.70899,-5.72051,5.41903,-2.10869,-2.88296,3.66066,-0.187319
-411.393,93.1731,-41.6784,21.172,-3.4202,-11.5372,13.2155,-12.7715,3.96723,0.874415,-10.7749,3.96926,-8.35668,-1.1845,1.85183,-5.86248,3.00505,-3.26032,-0.966422,3.89698,-1.59415
-417.539,93.4261,-39.2026,20.3529,-3.2006,-14.4043,12.5762,-12.8122,-1.02559,1.57253,-9.70008,2.60301,-7.72156,-3.64732,0.216337,-5.97063,1.89095,-2.72944,-1.66473,3.43924,-0.640779
-412.122,94.2532,-37.2825,24.8091,-0.416246,-11.141,15.9115,-10.6182,3.45506,4.90453,-9.04125,4.70753,-5.72443,-3.2408,1.01871,-5.57363,4.17425,-2.7772,-1.17203,5.02255,-0.509559
-414.112,93.359,-37.532,24.982,-0.680508,-10.8552,16.7245,-11.3375,2.0083,4.17864,-8.98527,4.89712,-6.59262,-3.58314,0.942813,-5.40684,3.22302,-1.7927,-0.433985,4.0111,-2.16732
